reservoir_size,density,input_scaling,spectral_radius,beta,training_time,rmse,nrmse
200,0.15,0.2,0.9,0.01,0.7825489,6.466230184977007,0.5218783078522848
200,0.15,0.2,0.9,0.001,0.7751083666666666,6.454079924738874,0.5208976812628118
200,0.15,0.2,0.9,0.0001,0.7841735833333333,6.438584010639631,0.5196470327091111
200,0.15,0.2,0.95,0.01,0.7878286833333333,6.467098075283624,0.5219483537850248
200,0.15,0.2,0.95,0.001,0.7744492833333333,6.455264408216164,0.5209932788854023
200,0.15,0.2,0.95,0.0001,0.7760146,6.441295903601338,0.5198659049220459
200,0.15,0.2,1.0,0.01,0.7774363999999999,6.467855017845551,0.5220094453162663
200,0.15,0.2,1.0,0.001,0.7701557666666666,6.456364724765953,0.5210820835401515
200,0.15,0.2,1.0,0.0001,0.7746132,6.4439207169036505,0.520077749085562
200,0.15,0.3,0.9,0.01,0.7752517999999999,6.4881380140571965,0.5236464510272136
200,0.15,0.3,0.9,0.001,0.778857,6.48781562816339,0.5236204318166502
200,0.15,0.3,0.9,0.0001,0.7853312,6.486468594864973,0.5235117150777948
200,0.15,0.3,0.95,0.01,0.7856045,6.488146679527704,0.5236471504024224
200,0.15,0.3,0.95,0.001,0.78840935,6.487802967397269,0.5236194099880096
200,0.15,0.3,0.95,0.0001,0.7850486833333333,6.486421739715602,0.5235079334793412
200,0.15,0.3,1.0,0.01,0.7851522166666667,6.488218555310433,0.5236529513731261
200,0.15,0.3,1.0,0.001,0.7866375833333333,6.487849397078549,0.523623157247666
200,0.15,0.3,1.0,0.0001,0.7958852166666667,6.486418143721771,0.523507643252869
200,0.2,0.1,0.9,0.01,0.7842418999999999,6.419816862491276,0.5181323684861096
200,0.2,0.1,0.9,0.001,0.7882892666666667,6.4050543278441525,0.5169409097256171
200,0.2,0.1,0.9,0.0001,0.7869356333333334,6.4027986948955835,0.5167588614729783
200,0.2,0.1,0.95,0.01,0.7902529,6.424674859950133,0.5185244490989014
200,0.2,0.1,0.95,0.001,0.7911456166666666,6.41273415565771,0.5175607354090962
200,0.2,0.1,0.95,0.0001,0.7930938166666667,6.411604004929447,0.5174695228891562
200,0.2,0.1,1.0,0.01,0.79716685,6.43122032197143,0.5190527220718807
200,0.2,0.1,1.0,0.001,0.8013309999999999,6.42213553470807,0.5183195045295768
200,0.2,0.1,1.0,0.0001,0.7976682,6.421917286475211,0.5183018900903753
200,0.2,0.2,0.9,0.01,0.7965131833333333,6.460277142010384,0.5213978480014724
200,0.2,0.2,0.9,0.001,0.8020063333333333,6.452829161357997,0.5207967343032908
200,0.2,0.2,0.9,0.0001,0.80521855,6.438180926871425,0.5196145005120106
200,0.2,0.2,0.95,0.01,0.8059902666666667,6.462033912489119,0.521539633922867
200,0.2,0.2,0.95,0.001,0.7947464833333334,6.455251345460276,0.5209922246128595
200,0.2,0.2,0.95,0.0001,0.8037741833333333,6.44196500532843,0.519919906970709
200,0.2,0.2,1.0,0.01,0.79736425,6.463962539255812,0.521695290069445
200,0.2,0.2,1.0,0.001,0.7988565833333333,6.4577324835719985,0.5211924729990525
200,0.2,0.2,1.0,0.0001,0.7946719333333333,6.4458812034383515,0.5202359765791755
200,0.2,0.3,0.9,0.01,0.8005728166666667,6.4830590918411595,0.5232365399575495
200,0.2,0.3,0.9,0.001,0.7971710833333333,6.482928152479828,0.5232259720670834
200,0.2,0.3,0.9,0.0001,0.7978756833333333,6.482048477997514,0.5231549750538071
200,0.2,0.3,0.95,0.01,0.7967080833333333,6.483081955476852,0.5232383852422309
200,0.2,0.3,0.95,0.001,0.8112900833333333,6.482945689271705,0.5232273874313697
200,0.2,0.3,0.95,0.0001,0.7968912166666667,6.482011702280424,0.5231520069489831
200,0.2,0.3,1.0,0.01,0.8030524833333333,6.483273817594866,0.5232538701035219
200,0.2,0.3,1.0,0.001,0.7915950666666667,6.4831258183776255,0.5232419253414508
